"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"5" ,1.227,1.275,1.294,812.77,531.38,84.76,100.00,19.71,0.011,,0.00,0.00,,,,,0.00,0.00,0.80,601.78,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"6" ,1.294,1.307,1.320,316.15,139.15,22.20,38.90,5.16,0.007,,0.00,0.00,,,,,0.00,0.00,0.99,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"7" ,1.320,1.347,1.402,241.97,348.57,55.60,29.77,12.93,0.024,,0.00,0.00,,,,,0.00,0.00,0.26,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"8" ,1.402,1.418,1.505,181.57,94.09,15.01,22.34,3.49,0.009,,0.00,0.00,,,,,0.00,0.00,1.14,0.00,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"1" ,0.905,0.925,0.965,313.46,326.53,43.60,49.41,16.35,0.017,,0.00,0.00,,,,,0.00,0.00,0.26,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"2" ,0.965,1.042,1.071,207.86,274.72,36.68,32.76,13.76,0.028,,0.00,0.00,,,,,0.00,0.00,0.89,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"3" ,1.071,1.203,1.219,634.43,748.92,100.00,100.00,37.51,0.020,,0.00,0.00,,,,,0.00,0.00,2.73,278.06,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"4" ,1.219,1.230,1.243,472.15,213.01,28.44,74.42,10.67,0.008,,0.00,0.00,,,,,0.00,0.00,0.90,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"5" ,1.243,1.269,1.310,395.83,433.37,57.87,62.39,21.71,0.018,,0.00,0.00,,,,,0.00,2.51,0.25,0.00,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"1" ,0.822,0.842,0.858,225.92,104.61,15.29,39.17,4.86,0.008,,0.00,0.00,,,,,0.00,0.00,1.15,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"2" ,0.858,0.878,0.895,576.70,426.78,62.39,100.00,19.82,0.012,,0.00,0.00,,,,,0.00,0.00,1.07,827.35,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"3" ,0.895,0.941,0.954,255.41,114.34,16.72,44.29,5.31,0.007,,0.00,0.00,,,,,0.00,0.00,1.09,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"4" ,0.954,1.015,1.100,376.26,684.03,100.00,65.24,31.77,0.030,,0.00,0.00,,,,,0.00,0.00,0.24,248.47,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"5" ,1.100,1.134,1.146,427.78,203.26,29.72,74.18,9.44,0.008,,0.00,0.00,,,,,0.00,0.00,0.85,611.58,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"6" ,1.146,1.219,1.232,235.49,121.88,17.82,40.83,5.66,0.009,,0.00,0.00,,,,,0.00,0.00,1.12,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"7" ,1.232,1.405,1.504,139.46,498.43,72.87,24.18,23.15,0.060,,0.00,0.00,,,,,0.00,0.00,2.08,204.20,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"1" ,1.061,1.074,1.110,494.16,499.62,0.07,0.48,0.07,0.017,,0.00,0.00,,,,,0.00,0.00,0.40,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"2" ,1.110,1.205,1.219,256.48,488.31,0.07,0.25,0.07,0.032,,0.00,0.00,,,,,0.00,0.00,7.85,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"3" ,1.219,1.254,1.311,874.45,1081.03,0.16,0.85,0.16,0.021,,0.00,0.00,,,,,0.00,0.00,0.51,787.78,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"4" ,2.709,2.797,3.135,103289.34,695034.44,100.00,100.00,99.70,0.427,,1140.97,1445.58,,,,,1140.97,1445.58,,104493.60,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"1" ,0.817,0.839,0.853,305.19,209.95,0.03,0.33,0.03,0.011,,0.00,0.00,,,,,0.00,0.00,0.93,347.34,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"2" ,0.853,0.884,0.896,535.02,536.01,0.09,0.58,0.09,0.017,,0.00,0.00,,,,,0.00,0.00,2.18,586.46,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"3" ,0.896,0.909,0.923,655.98,346.18,0.06,0.71,0.06,0.009,,0.00,0.00,,,,,0.00,0.00,1.19,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"4" ,0.923,0.990,1.003,243.12,340.63,0.05,0.26,0.05,0.023,,0.00,0.00,,,,,0.00,0.00,4.04,369.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"5" ,1.003,1.063,1.075,205.47,94.49,0.02,0.22,0.02,0.008,,0.00,0.00,,,,,0.00,0.00,0.87,285.46,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"6" ,1.075,1.129,1.139,241.10,116.99,0.02,0.26,0.02,0.008,,0.00,0.00,,,,,0.00,0.00,0.81,344.60,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"7" ,1.139,1.161,1.228,574.20,893.58,0.14,0.62,0.14,0.026,,0.00,0.00,,,,,0.00,0.00,0.42,640.53,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"8" ,1.228,1.242,1.268,318.89,346.18,0.06,0.35,0.06,0.018,,0.00,0.00,,,,,0.00,0.00,0.38,255.57,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"9" ,1.268,1.281,1.307,509.42,357.73,0.06,0.55,0.06,0.012,,0.00,0.00,,,,,0.00,0.00,0.66,216.21,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"10" ,1.307,1.319,1.333,298.61,166.71,0.03,0.32,0.03,0.009,,0.00,0.00,,,,,0.00,0.00,1.32,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"11" ,1.333,1.365,1.380,287.51,189.96,0.03,0.31,0.03,0.011,,0.00,0.00,,,,,0.00,0.00,1.08,285.58,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"12" ,1.380,1.473,1.505,216.71,164.36,0.03,0.24,0.03,0.013,,0.00,0.00,,,,,0.00,0.00,2.19,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_3.d" ,"13" ,2.705,2.794,3.115,91918.96,624427.03,100.00,100.00,99.40,0.410,,0.00,2569.20,,,,,0.00,2569.20,,92474.41,,,MM,,,,,M,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_4.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_4.d" ,"1" ,0.837,0.858,0.870,293.20,136.57,0.03,0.38,0.03,0.008,,0.00,0.00,,,,,0.00,0.00,0.86,412.23,,,  ,134.0434,,,,,,,,,,,,
