"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_1.d" ,"11" ,1.379,1.452,1.505,365.75,392.24,41.53,48.02,7.36,0.018,,0.00,0.00,,,,,0.00,0.00,0.97,258.67,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"1" ,0.824,0.869,0.920,334.45,567.83,28.65,46.67,9.28,0.028,,0.00,0.00,,,,,19.25,0.00,0.40,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"2" ,0.920,1.025,1.052,441.47,973.99,49.14,61.60,15.92,0.037,,0.00,0.00,,,,,0.00,-3.74,2.87,409.53,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"3" ,1.052,1.069,1.098,716.70,706.70,35.66,100.00,11.55,0.016,,0.00,0.00,,,,,-3.74,-5.03,0.43,514.13,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"4" ,1.098,1.190,1.260,432.52,1981.88,100.00,60.35,32.39,0.076,,0.00,0.00,,,,,-5.03,-9.61,1.43,263.58,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"5" ,1.260,1.275,1.294,444.15,578.30,29.18,61.97,9.45,0.022,,0.00,0.00,,,,,-9.61,-10.56,0.85,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"6" ,1.294,1.400,1.416,452.84,606.06,30.58,63.18,9.90,0.022,,0.00,0.00,,,,,-10.56,-14.01,4.30,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"7" ,1.416,1.427,1.443,218.51,124.77,6.30,30.49,2.04,0.010,,0.00,0.00,,,,,-14.01,-14.76,0.79,306.60,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_2.d" ,"8" ,1.443,1.462,1.505,578.16,579.85,29.26,80.67,9.48,0.017,,0.00,0.00,,,,,-14.76,-16.54,0.57,388.39,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"1" ,0.820,0.863,0.883,417.76,576.32,29.43,66.31,7.54,0.023,,225.13,0.00,,,,,92.25,0.00,3.14,516.47,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"2" ,0.883,0.901,0.921,621.53,651.14,33.25,98.65,8.52,0.017,,0.00,287.28,,,,,0.00,-5.15,0.48,513.48,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"3" ,0.921,0.931,0.943,436.54,292.72,14.95,69.29,3.83,0.011,,287.28,0.00,,,,,-5.15,-8.13,1.30,528.66,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"4" ,0.943,0.959,0.980,584.21,470.80,24.04,92.72,6.16,0.013,,0.00,0.00,,,,,-8.13,-13.17,0.96,385.11,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"5" ,0.980,0.992,1.038,210.57,352.51,18.00,33.42,4.61,0.028,,0.00,0.00,,,,,-13.17,-21.05,0.17,266.91,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"6" ,1.038,1.123,1.154,464.84,1012.62,51.71,73.78,13.26,0.036,,0.00,0.00,,,,,-21.05,-36.68,2.05,520.28,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"7" ,1.154,1.165,1.180,509.77,397.09,20.28,80.91,5.20,0.013,,0.00,287.84,,,,,-36.68,-40.24,0.70,335.90,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"8" ,1.180,1.236,1.272,630.05,1958.07,100.00,100.00,25.63,0.052,,287.84,352.51,,,,,-40.24,-52.73,1.75,440.29,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"9" ,1.272,1.280,1.316,509.35,690.33,35.26,80.84,9.04,0.023,,352.51,0.00,,,,,-52.73,-58.66,0.44,501.34,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"10" ,1.316,1.395,1.406,331.54,518.63,26.49,52.62,6.79,0.026,,0.00,0.00,,,,,-58.66,-70.87,2.98,283.78,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_3.d" ,"11" ,1.406,1.421,1.501,261.29,719.04,36.72,41.47,9.41,0.046,,0.00,0.00,,,,,-70.87,-83.74,0.29,322.04,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_4.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"1" ,0.865,0.885,0.897,252.91,120.69,8.36,35.09,2.34,0.008,,0.00,0.00,,,,,0.00,0.00,0.84,361.61,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"2" ,0.897,0.916,1.000,571.91,1062.80,73.64,79.34,20.65,0.034,,0.00,0.00,,,,,0.00,0.00,0.23,646.53,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"3" ,1.000,1.136,1.148,340.94,630.00,43.65,47.30,12.24,0.031,,0.00,0.00,,,,,0.00,0.00,7.03,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"4" ,1.148,1.166,1.232,720.82,1443.29,100.00,100.00,28.04,0.033,,0.00,0.00,,,,,0.00,0.00,0.21,515.59,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"5" ,1.232,1.260,1.305,634.79,682.44,47.28,88.07,13.26,0.022,,0.00,0.00,,,,,0.00,0.00,0.52,609.13,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"6" ,1.305,1.319,1.351,254.68,258.84,17.93,35.33,5.03,0.017,,0.00,0.00,,,,,0.00,0.00,0.52,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"7" ,1.351,1.410,1.428,251.38,394.02,27.30,34.87,7.65,0.026,,0.00,0.00,,,,,0.00,0.00,3.13,311.59,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_4.d" ,"8" ,1.428,1.467,1.500,341.59,555.74,38.50,47.39,10.80,0.027,,0.00,0.00,,,,,0.00,2.12,0.91,473.68,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"1" ,0.813,0.841,0.882,315.15,490.49,62.38,59.34,13.12,0.024,,0.00,0.00,,,,,0.00,0.00,0.61,360.50,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"2" ,0.882,0.908,0.925,339.54,450.20,57.26,63.93,12.04,0.023,,0.00,0.00,,,,,0.00,0.00,1.13,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"3" ,0.925,0.959,0.972,318.85,142.52,18.13,60.03,3.81,0.007,,0.00,0.00,,,,,0.00,0.00,0.92,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"4" ,0.972,1.005,1.018,144.37,74.04,9.42,27.18,1.98,0.009,,0.00,0.00,,,,,0.00,0.00,1.09,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"5" ,1.018,1.071,1.103,356.05,462.42,58.81,67.04,12.37,0.022,,0.00,216.27,,,,,0.00,0.00,0.73,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"6" ,1.103,1.117,1.131,271.64,223.80,28.46,51.14,5.99,0.014,,216.27,0.00,,,,,0.00,0.00,1.13,464.30,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"7" ,1.131,1.164,1.200,165.08,164.76,20.95,31.08,4.41,0.017,,0.00,0.00,,,,,0.00,0.00,0.27,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"8" ,1.200,1.216,1.230,463.88,303.71,38.63,87.34,8.13,0.011,,0.00,0.00,,,,,0.00,0.00,1.05,319.60,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"9" ,1.230,1.270,1.316,531.12,786.26,100.00,100.00,21.04,0.025,,0.00,0.00,,,,,0.00,0.00,0.41,335.69,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"10" ,1.316,1.343,1.362,357.25,234.63,29.84,67.26,6.28,0.011,,0.00,0.00,,,,,0.00,0.00,0.88,322.03,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"11" ,1.362,1.395,1.412,179.02,152.65,19.41,33.71,4.08,0.014,,0.00,0.00,,,,,0.00,0.00,1.51,269.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_1.d" ,"12" ,1.412,1.431,1.501,371.90,252.29,32.09,70.02,6.75,0.011,,0.00,0.00,,,,,0.00,0.00,0.81,235.47,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"1" ,0.830,0.847,0.890,326.27,310.26,26.75,53.23,6.72,0.016,,0.00,0.00,,,,,0.00,0.00,0.56,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"2" ,0.890,0.923,0.939,310.06,149.67,12.90,50.59,3.24,0.008,,0.00,0.00,,,,,0.00,0.00,0.83,451.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"3" ,0.939,0.960,1.082,565.03,1159.84,100.00,92.19,25.10,0.034,,0.00,0.00,,,,,0.00,0.00,0.38,624.29,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"4" ,1.082,1.174,1.227,506.49,1113.19,95.98,82.64,24.09,0.037,,0.00,0.00,,,,,0.00,0.00,1.19,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"5" ,1.227,1.253,1.294,612.91,1052.65,90.76,100.00,22.78,0.028,,0.00,0.00,,,,,0.00,0.00,0.39,470.38,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"6" ,1.294,1.307,1.323,316.15,139.15,12.00,51.58,3.01,0.007,,0.00,0.00,,,,,0.00,0.00,0.99,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"7" ,1.323,1.342,1.369,331.13,317.00,27.33,54.03,6.86,0.016,,0.00,0.00,,,,,0.00,0.00,0.54,334.08,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"8" ,1.369,1.387,1.402,236.15,151.46,13.06,38.53,3.28,0.011,,0.00,0.00,,,,,0.00,0.00,0.93,248.39,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_2.d" ,"9" ,1.402,1.418,1.505,181.57,226.89,19.56,29.62,4.91,0.021,,0.00,0.00,,,,,0.00,0.00,0.28,0.00,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d"," -ESI EIC(74.0256) Scan Frag=175.0V gs_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"1" ,0.826,0.859,0.870,219.27,111.02,16.68,30.65,6.92,0.008,,0.00,0.00,,,,,146.25,0.00,1.47,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"2" ,1.176,1.201,1.215,715.30,665.48,100.00,100.00,41.49,0.020,,0.00,0.00,,,,,6.50,2.85,1.82,784.49,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"3" ,1.215,1.228,1.246,591.43,379.87,57.08,82.68,23.68,0.011,,0.00,0.00,,,,,2.85,0.00,1.14,641.62,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\gs_neg_3.d" ,"4" ,1.246,1.267,1.501,459.21,447.72,67.28,64.20,27.91,0.038,,0.00,0.00,,,,,0.00,75.43,0.00,527.37,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_1.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"1" ,0.809,0.841,0.853,226.30,199.29,18.99,28.92,3.76,0.015,,0.00,0.00,,,,,0.00,0.00,2.66,0.00,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"2" ,0.853,0.879,0.893,651.42,691.60,65.91,83.24,13.04,0.023,,0.00,0.00,,,,,0.00,0.00,2.18,827.35,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"3" ,0.893,0.909,0.926,376.29,353.10,33.65,48.09,6.66,0.016,,0.00,0.00,,,,,0.00,0.00,1.04,428.02,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"4" ,0.926,0.941,0.967,255.41,230.26,21.94,32.64,4.34,0.015,,0.00,0.00,,,,,0.00,0.00,0.35,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"5" ,0.967,0.980,0.997,465.16,241.18,22.99,59.44,4.55,0.009,,0.00,0.00,,,,,0.00,0.00,1.13,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"6" ,0.997,1.015,1.028,376.26,292.18,27.85,48.08,5.51,0.013,,0.00,0.00,,,,,0.00,0.00,0.82,248.47,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"7" ,1.028,1.043,1.080,257.04,585.36,55.79,32.85,11.04,0.038,,0.00,337.29,,,,,0.00,0.00,0.37,334.05,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"8" ,1.080,1.090,1.107,212.85,215.79,20.57,27.20,4.07,0.017,,337.29,0.00,,,,,0.00,0.00,0.90,347.65,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"9" ,1.107,1.147,1.179,782.54,1049.27,100.00,100.00,19.78,0.022,,0.00,0.00,,,,,0.00,0.00,1.00,478.54,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"10" ,1.179,1.219,1.247,235.49,253.51,24.16,30.09,4.78,0.018,,0.00,234.45,,,,,0.00,0.00,0.34,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"11" ,1.247,1.264,1.308,273.92,458.11,43.66,35.00,8.64,0.029,,234.45,0.00,,,,,0.00,0.00,0.40,228.20,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"12" ,1.308,1.325,1.361,346.07,322.96,30.78,44.22,6.09,0.016,,0.00,0.00,,,,,0.00,0.00,0.49,250.51,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"13" ,1.361,1.378,1.394,289.81,128.03,12.20,37.03,2.41,0.007,,0.00,0.00,,,,,0.00,0.00,0.96,0.00,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"14" ,1.394,1.410,1.428,376.42,216.96,20.68,48.10,4.09,0.010,,0.00,0.00,,,,,0.00,0.00,1.13,449.89,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_1.d" ,"15" ,1.428,1.444,1.455,148.96,66.50,6.34,19.04,1.25,0.007,,0.00,0.00,,,,,0.00,0.00,0.92,0.00,,,  ,248.9679,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d"," -ESI EIC(74.0256) Scan Frag=175.0V m3_2.d "
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"1" ,0.848,0.865,0.924,446.85,332.29,0.05,0.43,0.05,0.012,,412.65,0.00,,,,,190.00,0.00,0.80,708.63,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"2" ,0.924,0.944,1.003,414.90,1075.45,0.16,0.40,0.16,0.038,,0.00,0.00,,,,,0.00,-22.92,0.20,663.33,,,  ,134.0434,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"3" ,1.003,1.053,1.134,473.80,1861.26,0.27,0.46,0.27,0.053,,0.00,0.00,,,,,-22.92,-60.90,0.23,301.39,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"4" ,1.134,1.153,1.225,389.20,1334.26,0.20,0.38,0.19,0.057,,0.00,0.00,,,,,-60.90,-87.32,0.20,553.79,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"5" ,1.225,1.254,1.311,969.92,1589.80,0.23,0.94,0.23,0.027,,0.00,0.00,,,,,-87.32,-112.00,0.48,787.78,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"6" ,1.311,1.359,1.417,492.75,1423.19,0.21,0.48,0.21,0.048,,0.00,0.00,,,,,-112.00,-142.98,0.61,611.13,,,  ,248.9679,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\240305_mod3\m3_2.d" ,"7" ,1.417,1.455,1.503,520.36,1199.90,0.18,0.50,0.17,0.038,,0.00,0.00,,,,,-142.98,-167.93,0.95,0.00,,,  ,248.9679,,,,,,,,,,,,
