"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_l_1.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_2.d" ,"14" ,6.922,6.988,7.005,9634.63,24973.83,3.26,7.26,1.17,0.083,0.063,4027.56,639.62,6.788,6.822,7.005,10.985,4027.56,639.62,0.09,10951.70,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_l_3.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"1" ,0.782,0.838,1.043,128660.62,599293.61,100.00,100.00,45.90,0.260,0.062,15127.63,12988.98,0.555,0.572,1.048,1.120,14907.27,10914.76,2.50,142718.27,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"2" ,1.663,1.774,1.907,20738.12,236266.55,39.42,16.12,18.10,0.244,0.785,0.00,0.00,1.048,1.120,2.006,2.073,0.00,0.00,0.19,20738.12,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"3" ,2.112,2.228,2.278,31705.60,188215.03,31.41,24.64,14.42,0.166,0.096,0.00,0.00,2.006,2.073,2.333,2.383,0.00,0.00,0.43,31705.60,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"4" ,2.450,2.505,2.552,18849.07,73821.70,12.32,14.65,5.65,0.103,0.076,349.34,349.34,2.444,2.450,2.544,2.605,349.34,349.34,0.68,19198.41,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"5" ,5.236,5.341,5.374,15132.57,93949.87,15.68,11.76,7.20,0.138,0.712,0.00,0.00,4.649,4.654,5.690,5.695,0.00,0.00,0.05,15132.57,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"6" ,5.884,5.928,5.978,12291.69,52237.87,8.72,9.55,4.00,0.094,0.169,0.00,0.00,5.795,5.801,6.011,6.011,0.00,0.00,0.39,12291.69,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"7" ,6.017,6.028,6.055,10794.82,17908.51,2.99,8.39,1.37,0.039,0.042,0.00,0.00,6.011,6.011,6.061,6.061,0.00,0.00,1.26,10794.82,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"8" ,6.111,6.122,6.183,13891.66,37367.39,6.24,10.80,2.86,0.072,0.118,0.00,0.00,6.061,6.061,6.521,6.637,0.00,0.00,0.91,13891.66,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_l_3.d" ,"9" ,6.929,6.987,6.995,4442.46,6609.93,1.10,3.45,0.51,0.066,0.460,5060.06,4845.17,6.521,6.637,7.004,10.983,5060.06,4845.17,0.02,9313.52,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_neg_1.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"1" ,0.774,0.835,0.929,26823.09,75284.54,75.73,100.00,14.64,0.155,0.046,17528.29,13799.65,0.552,0.563,1.051,1.145,14050.12,13799.65,2.01,40774.83,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"2" ,1.682,1.760,1.765,19322.36,74469.50,74.91,72.04,14.48,0.083,0.371,0.00,0.00,1.383,1.388,2.009,2.070,0.00,0.00,0.01,19322.36,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"3" ,2.158,2.208,2.277,24258.72,91732.64,92.28,90.44,17.84,0.119,0.082,10700.16,10652.21,2.097,2.114,2.341,2.374,6750.98,10652.21,1.82,32642.55,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"4" ,2.441,2.452,2.457,18359.20,11103.56,11.17,68.45,2.16,0.017,0.098,0.00,0.00,2.341,2.374,2.463,2.496,0.00,0.00,0.05,18359.20,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"5" ,2.480,2.507,2.546,18294.70,49470.15,49.76,68.21,9.62,0.066,0.071,0.00,0.00,2.463,2.496,2.546,2.601,0.00,0.00,0.71,18294.70,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"6" ,3.194,3.261,3.294,8326.88,22967.15,23.10,31.04,4.47,0.100,0.409,12698.71,13538.80,2.851,3.216,3.432,3.587,12698.71,13538.80,0.08,21585.65,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"7" ,3.787,3.859,3.959,12524.30,99410.46,100.00,46.69,19.33,0.172,0.297,10094.21,0.00,3.604,3.853,4.767,4.773,10094.21,0.00,0.38,18385.08,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"8" ,5.293,5.304,5.321,13751.28,16863.98,16.96,51.27,3.28,0.028,0.509,0.00,0.00,4.811,4.811,5.327,5.338,0.00,0.00,0.03,13751.28,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"9" ,6.008,6.013,6.049,10017.82,15606.26,15.70,37.35,3.03,0.041,0.038,0.00,5224.22,6.002,6.008,6.108,6.113,0.00,5224.22,8.13,10715.69,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"10" ,6.318,6.407,6.412,11869.49,49294.77,49.59,44.25,9.59,0.094,0.099,0.00,0.00,6.313,6.313,6.556,6.873,0.00,0.00,0.05,11869.49,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_1.d" ,"11" ,6.949,6.989,7.000,7464.72,8058.58,8.11,27.83,1.57,0.052,0.019,3958.02,3664.18,6.556,6.873,7.006,10.986,3958.02,3664.18,0.26,11192.65,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_neg_2.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"1" ,0.767,0.828,0.928,23953.42,76902.76,36.56,100.00,10.35,0.161,0.049,18080.16,0.00,0.551,0.568,1.061,1.144,14021.35,13520.59,2.15,37784.82,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"2" ,1.798,1.853,1.870,20268.27,65092.14,30.94,84.62,8.76,0.072,0.724,0.00,0.00,1.061,1.144,2.014,2.075,0.00,0.00,0.02,20268.27,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"3" ,2.093,2.207,2.255,23946.35,101544.18,48.27,99.97,13.66,0.162,0.063,2330.32,7521.07,2.014,2.075,2.296,2.296,2330.32,7521.07,0.56,29935.24,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"4" ,2.305,2.313,2.324,5603.92,4261.26,2.03,23.40,0.57,0.019,0.025,9467.11,10259.76,2.296,2.296,2.340,2.379,9467.11,10096.16,0.61,15327.51,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"5" ,2.468,2.473,2.479,11537.73,3830.53,1.82,48.17,0.52,0.011,0.148,0.00,13899.15,2.340,2.379,2.540,2.606,0.00,13899.15,0.61,18487.31,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"6" ,2.778,2.900,2.922,7884.08,30246.08,14.38,32.91,4.07,0.144,0.206,15142.60,15075.38,2.540,2.606,4.689,4.689,13814.68,13793.72,0.25,21681.02,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"7" ,4.694,4.816,4.838,14042.38,93098.82,44.26,58.62,12.52,0.144,0.148,0.00,0.00,4.689,4.689,4.844,4.844,0.00,0.00,0.16,14042.38,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"8" ,5.066,5.143,5.392,14055.20,210348.21,100.00,58.68,28.30,0.327,0.547,0.00,0.00,4.844,4.844,5.398,5.398,0.00,0.00,0.82,14055.20,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"9" ,5.403,5.442,5.448,11864.58,23962.23,11.39,49.53,3.22,0.044,0.049,0.00,0.00,5.398,5.398,5.453,5.453,0.00,0.00,0.10,11864.58,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"10" ,5.531,5.547,5.631,13427.53,58566.01,27.84,56.06,7.88,0.100,0.174,0.00,0.00,5.453,5.453,5.786,5.791,0.00,0.00,0.83,13427.53,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"11" ,5.863,5.896,5.935,13381.43,41172.91,19.57,55.86,5.54,0.072,0.092,0.00,0.00,5.830,5.835,5.974,5.979,0.00,0.00,0.63,13381.43,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"12" ,6.040,6.068,6.079,11314.62,19233.48,9.14,47.24,2.59,0.039,0.093,0.00,0.00,5.974,5.979,6.556,6.789,0.00,0.00,0.12,11314.62,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_2.d" ,"13" ,6.956,6.989,7.019,10296.49,15049.92,7.15,42.99,2.02,0.063,0.032,408.59,376.27,6.556,6.789,7.022,10.985,408.59,376.27,0.78,10688.47,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_neg_3.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"1" ,0.760,0.837,0.970,24262.26,79778.73,9.64,78.21,5.67,0.210,0.045,17417.37,13989.28,0.549,0.566,1.108,1.114,13599.52,13989.28,1.50,38005.38,,,  ,,,,,M,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"2" ,2.122,2.233,2.310,31023.10,205626.76,24.85,100.00,14.61,0.188,0.128,0.00,0.00,2.000,2.078,2.338,2.382,0.00,0.00,0.70,31023.10,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"3" ,2.460,2.504,2.554,21426.19,68106.43,8.23,69.07,4.84,0.094,0.193,163.02,21.14,2.338,2.382,2.543,2.615,163.02,21.14,0.23,21522.37,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"4" ,2.599,2.776,3.864,19807.06,827324.54,100.00,63.85,58.76,1.265,1.216,845.74,7495.81,2.543,2.615,4.853,4.853,845.74,7495.81,6.84,21582.69,,,  ,237.0885,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"5" ,4.953,4.997,5.030,12770.20,47486.51,5.74,41.16,3.37,0.078,0.177,0.00,0.00,4.853,4.853,5.074,5.080,0.00,0.00,0.22,12770.20,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"6" ,5.866,6.044,6.077,13445.51,120731.66,14.59,43.34,8.58,0.210,0.258,0.00,0.00,5.806,5.811,6.271,6.276,0.00,0.00,0.14,13445.51,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_neg_3.d" ,"7" ,6.420,6.459,6.553,10791.29,58849.72,7.11,34.78,4.18,0.133,0.220,0.00,1181.06,6.321,6.321,6.553,6.920,0.00,1181.06,0.65,11135.74,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_p_1.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"1" ,0.761,0.838,1.054,135825.20,664307.39,53.88,100.00,27.06,0.293,0.062,17414.73,9411.51,0.556,0.572,1.154,1.154,4110.04,9411.51,3.17,141337.39,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"2" ,1.841,1.885,1.963,21742.19,118159.68,9.58,16.01,4.81,0.122,0.805,0.00,0.00,1.154,1.154,2.001,2.079,0.00,0.00,0.10,21742.19,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"3" ,2.162,2.217,2.309,26387.82,122502.85,9.94,19.43,4.99,0.147,0.082,9646.06,7261.61,2.001,2.079,2.450,2.450,9214.87,7261.61,1.73,34867.67,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"4" ,2.456,2.467,2.555,20704.39,81069.51,6.57,15.24,3.30,0.100,0.083,0.00,0.00,2.450,2.450,2.544,2.611,0.00,0.00,3.78,20704.39,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"5" ,2.600,2.794,4.034,22104.62,1233035.60,100.00,16.27,50.24,1.434,1.393,1238.51,1646.63,2.544,2.611,4.494,4.500,1057.02,1646.63,6.79,23241.35,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"6" ,5.530,5.613,5.685,13987.74,99061.12,8.03,10.30,4.04,0.155,0.541,0.00,0.00,5.131,5.137,5.768,5.773,0.00,0.00,0.15,13987.74,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"7" ,6.255,6.305,6.366,11040.25,57267.15,4.64,8.13,2.33,0.111,0.148,0.00,0.00,6.206,6.211,6.372,6.372,0.00,0.00,0.64,11040.25,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"8" ,6.460,6.494,6.555,11610.56,42666.54,3.46,8.55,1.74,0.094,0.170,0.00,0.00,6.372,6.372,6.555,6.954,0.00,0.00,0.46,11610.56,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_1.d" ,"9" ,6.821,6.988,7.004,8583.19,36434.00,2.95,6.32,1.48,0.183,0.054,1864.34,1698.91,6.555,6.954,7.004,10.984,1864.34,1698.91,0.09,10297.14,,,  ,248.9705,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_p_2.d "
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"1" ,0.573,0.642,0.680,7438.79,27820.93,5.16,6.10,1.30,0.107,0.098,9950.04,14186.13,0.065,0.564,0.653,0.758,9950.04,14167.94,1.15,20083.17,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"2" ,0.775,0.836,1.024,122034.39,538901.57,100.00,100.00,25.22,0.249,0.053,15773.19,15299.06,0.653,0.758,1.063,1.063,14563.26,9698.74,3.24,135408.44,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"3" ,1.256,1.633,1.672,18977.70,338459.56,62.81,15.55,15.84,0.415,0.546,0.00,0.00,1.074,1.074,1.639,1.794,0.00,0.00,0.07,18977.70,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"4" ,1.727,1.821,1.982,19615.96,245248.60,45.51,16.07,11.48,0.255,0.303,0.00,0.00,1.639,1.794,2.004,2.065,0.00,0.00,1.07,19615.96,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"5" ,2.087,2.220,2.312,27406.35,158927.46,29.49,22.46,7.44,0.225,0.117,2802.96,6792.95,2.004,2.065,2.337,2.381,2618.10,6792.95,0.87,32494.56,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"6" ,2.481,2.508,2.553,19732.36,52364.58,9.72,16.17,2.45,0.072,0.047,0.00,0.00,2.475,2.481,2.547,2.602,0.00,0.00,1.34,19732.36,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"7" ,2.602,2.857,3.482,18366.84,494901.93,91.84,15.05,23.16,0.879,1.140,1936.08,12116.22,2.547,2.602,3.461,3.832,1571.40,12116.22,4.21,22994.42,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"8" ,4.746,4.807,4.957,16168.92,145255.65,26.95,13.25,6.80,0.210,0.480,0.00,0.00,4.475,4.475,5.139,5.139,0.00,0.00,0.44,16168.92,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"9" ,5.466,5.505,5.555,13370.84,53812.20,9.99,10.96,2.52,0.089,0.242,0.00,0.00,5.300,5.305,5.560,5.571,0.00,0.00,0.25,13370.84,,,  ,248.9705,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\231003\sds_p_2.d" ,"10" ,5.715,5.737,5.743,14868.87,14906.02,2.77,12.18,0.70,0.028,0.182,0.00,0.00,5.560,5.571,5.804,5.810,0.00,0.00,0.03,14868.87,,,  ,248.9705,,,,,,,,,,,,
