Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume,,
Source[1],384PP_AQ_BP,B2,Destination[1],B4,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],B5,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],B6,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],B7,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],B8,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],B9,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C10,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C2,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C3,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C4,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C5,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C6,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C7,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C8,275,,
Source[1],384PP_AQ_BP,B2,Destination[1],C9,275,,
Source[1],384PP_AQ_BP,B3,Destination[1],B11,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],B2,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],B3,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],B4,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],B5,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],B6,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],B8,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],C2,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],C3,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],C4,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],C5,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],C6,650,,
Source[1],384PP_AQ_BP,B3,Destination[1],C8,650,,
Source[1],384PP_AQ_BP,B4,Destination[1],B7,25,,
Source[1],384PP_AQ_BP,B4,Destination[1],C7,25,,
Source[1],384PP_AQ_BP,B5,Destination[1],B9,1360,,
Source[1],384PP_AQ_BP,B5,Destination[1],C9,1360,,
Source[1],384PP_AQ_BP,B6,Destination[1],B10,675,,
Source[1],384PP_AQ_BP,B6,Destination[1],C10,675,,
Source[1],384PP_AQ_BP,C2,Destination[1],C10,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C2,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C3,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C4,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C5,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C6,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C7,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C8,100,,
Source[1],384PP_AQ_BP,C2,Destination[1],C9,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],B10,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],B2,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],B3,25,,
Source[1],384PP_AQ_BP,D1,Destination[1],B4,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],B5,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],B6,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],B8,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],B9,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],C10,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],C2,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],C3,25,,
Source[1],384PP_AQ_BP,D1,Destination[1],C4,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],C5,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],C6,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],C8,100,,
Source[1],384PP_AQ_BP,D1,Destination[1],C9,100,,
Source[1],384PP_AQ_BP,D2,Destination[1],B10,100,,
Source[1],384PP_AQ_BP,D2,Destination[1],B2,100,,
Source[1],384PP_AQ_BP,D2,Destination[1],B3,100,,
Source[1],384PP_AQ_BP,D2,Destination[1],B4,375,,
Source[1],384PP_AQ_BP,D2,Destination[1],B5,25,,
Source[1],384PP_AQ_BP,D2,Destination[1],B6,225,,
Source[1],384PP_AQ_BP,D2,Destination[1],C10,100,,
Source[1],384PP_AQ_BP,D2,Destination[1],C2,100,,
Source[1],384PP_AQ_BP,D2,Destination[1],C3,100,,
Source[1],384PP_AQ_BP,D2,Destination[1],C4,375,,
Source[1],384PP_AQ_BP,D2,Destination[1],C5,25,,
Source[1],384PP_AQ_BP,D2,Destination[1],C6,225,,
Source[1],384PP_AQ_BP,D3,Destination[1],B2,100,,
Source[1],384PP_AQ_BP,D3,Destination[1],B3,75,,
Source[1],384PP_AQ_BP,D3,Destination[1],B4,325,,
Source[1],384PP_AQ_BP,D3,Destination[1],B5,25,,
Source[1],384PP_AQ_BP,D3,Destination[1],B6,575,,
Source[1],384PP_AQ_BP,D3,Destination[1],B8,100,,
Source[1],384PP_AQ_BP,D3,Destination[1],C2,100,,
Source[1],384PP_AQ_BP,D3,Destination[1],C3,75,,
Source[1],384PP_AQ_BP,D3,Destination[1],C4,325,,
Source[1],384PP_AQ_BP,D3,Destination[1],C5,25,,
Source[1],384PP_AQ_BP,D3,Destination[1],C6,575,,
Source[1],384PP_AQ_BP,D3,Destination[1],C8,100,,
Source[1],384PP_AQ_BP,D4,Destination[1],B8,100,,
Source[1],384PP_AQ_BP,D4,Destination[1],C8,100,,
