"D:\Projects\Marchand\Data\Carothers\230815\full_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V full_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"8" ,1.038,1.064,1.102,2511.20,5199.05,8.49,13.65,5.38,0.035,,1553.64,0.00,,,,,205.99,284.83,0.88,1999.44,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"9" ,1.102,1.126,1.144,1668.92,2934.52,4.79,9.07,3.04,0.026,,0.00,893.89,,,,,284.83,389.41,1.18,1660.73,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_2.d" ,"10" ,1.144,1.155,1.203,1645.29,2093.50,3.42,8.94,2.17,0.021,,893.89,0.00,,,,,389.41,531.50,0.51,1773.22,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d"," -ESI EIC(87.0082) Scan Frag=175.0V full_neg_rerun1.d "
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"1" ,0.550,0.588,0.611,2761.65,4824.12,3.96,8.92,2.84,0.029,,0.00,1542.38,,,,,0.00,62.33,0.92,2940.03,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"2" ,0.611,0.632,0.649,2639.01,4186.80,3.44,8.53,2.47,0.026,,1542.38,0.00,,,,,62.33,101.14,1.60,2906.91,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"3" ,0.649,0.665,0.677,2094.35,2452.88,2.01,6.77,1.45,0.020,,0.00,0.00,,,,,101.14,129.42,1.34,2278.21,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"4" ,0.677,0.689,0.700,2232.83,2172.67,1.78,7.22,1.28,0.016,,0.00,0.00,,,,,129.42,153.07,1.17,2355.23,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"5" ,0.700,0.739,0.860,3243.01,18394.70,15.11,10.48,10.84,0.095,,0.00,2140.17,,,,,153.07,316.70,0.19,1894.53,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"6" ,0.860,0.953,1.040,30943.60,121767.91,100.00,100.00,71.75,0.051,,2140.17,2630.51,,,,,316.70,501.30,0.61,31498.94,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"7" ,1.040,1.071,1.093,4296.61,8955.26,7.35,13.89,5.28,0.035,,2630.51,3482.19,,,,,501.30,556.01,0.91,3940.57,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"8" ,1.093,1.106,1.126,3100.93,4120.91,3.38,10.02,2.43,0.022,,3482.19,0.00,,,,,556.01,589.16,1.08,3938.85,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun1.d" ,"9" ,1.126,1.139,1.172,1932.89,2825.53,2.32,6.25,1.67,0.027,,0.00,1877.58,,,,,589.16,1196.30,0.38,2370.47,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d"," -ESI EIC(87.0082) Scan Frag=175.0V full_neg_rerun2.d "
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"1" ,0.196,0.221,0.256,2903.90,3488.32,65.80,100.00,8.46,0.019,,0.00,0.00,,,,,0.00,0.00,0.91,3208.76,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"2" ,0.256,0.600,0.612,1367.11,1568.91,29.59,47.08,3.81,0.019,,0.00,0.00,,,,,0.00,0.00,2.03,613.39,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"3" ,0.612,0.644,0.658,1483.92,2518.43,47.51,51.10,6.11,0.028,,0.00,749.26,,,,,0.00,0.00,1.71,1151.01,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"4" ,0.658,0.681,0.711,1885.56,3667.38,69.18,64.93,8.90,0.028,,749.26,0.00,,,,,0.00,0.00,1.13,2103.76,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"5" ,0.711,0.732,0.745,2463.73,2763.97,52.14,84.84,6.70,0.019,,0.00,931.38,,,,,0.00,0.00,1.22,1995.48,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"6" ,0.745,0.754,0.827,2016.53,5301.35,100.00,69.44,12.86,0.044,,931.38,954.88,,,,,0.00,0.00,0.18,1516.51,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"7" ,0.827,0.842,0.856,1982.61,1758.77,33.18,68.27,4.27,0.015,,954.88,0.00,,,,,0.00,0.00,1.54,924.57,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"8" ,0.856,0.888,0.927,1628.56,5058.57,95.42,56.08,12.27,0.050,,0.00,891.00,,,,,0.00,0.00,0.67,1421.42,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"9" ,0.927,0.943,0.961,1915.64,2270.26,42.82,65.97,5.51,0.019,,891.00,0.00,,,,,0.00,0.00,1.09,1560.71,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"10" ,0.961,0.971,0.985,1539.71,901.04,17.00,53.02,2.19,0.010,,0.00,0.00,,,,,0.00,0.00,0.93,981.95,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"11" ,0.985,1.000,1.012,1729.20,1434.88,27.07,59.55,3.48,0.014,,0.00,703.14,,,,,0.00,0.00,0.73,1628.06,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"12" ,1.012,1.037,1.055,1693.41,2841.93,53.61,58.32,6.89,0.028,,703.14,0.00,,,,,0.00,0.00,2.10,1359.52,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"13" ,1.055,1.070,1.126,1640.02,5122.27,96.62,56.48,12.42,0.048,,0.00,515.29,,,,,0.00,74.97,0.18,1246.38,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"14" ,1.126,1.136,1.163,1699.02,1687.62,31.83,58.51,4.09,0.017,,515.29,0.00,,,,,74.97,112.89,0.42,309.09,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full_neg_rerun2.d" ,"15" ,1.163,1.174,1.203,625.75,842.94,15.90,21.55,2.04,0.022,,0.00,1238.53,,,,,112.89,1174.00,0.39,751.31,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V full-neg_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"1" ,0.551,0.603,0.680,1695.39,9006.98,10.83,7.24,7.20,0.089,,0.00,2134.28,,,,,0.00,0.00,0.26,1036.45,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"2" ,0.680,0.702,0.711,2628.21,3321.14,3.99,11.22,2.66,0.021,,2134.28,0.00,,,,,0.00,0.00,2.63,2093.65,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"3" ,0.711,0.722,0.734,2950.88,2471.35,2.97,12.60,1.98,0.014,,0.00,0.00,,,,,0.00,0.00,1.00,3083.94,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"4" ,0.734,0.754,0.811,3027.18,8654.82,10.41,12.92,6.92,0.050,,0.00,0.00,,,,,0.00,0.00,0.38,3317.37,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"5" ,0.811,0.821,0.852,1957.84,1832.19,2.20,8.36,1.47,0.016,,0.00,441.26,,,,,0.00,0.00,0.56,2078.30,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"6" ,0.852,0.864,0.876,1963.65,1460.50,1.76,8.38,1.17,0.012,,441.26,0.00,,,,,0.00,0.00,1.26,1940.32,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"7" ,0.876,0.943,1.007,23422.27,83159.30,100.00,100.00,66.51,0.046,,0.00,3756.71,,,,,0.00,0.00,0.95,24405.80,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"8" ,1.007,1.019,1.124,4029.21,10925.86,13.14,17.20,8.74,0.045,,3756.71,0.00,,,,,0.00,0.00,0.23,4334.02,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_1.d" ,"9" ,1.124,1.138,1.202,2484.66,4194.55,5.04,10.61,3.35,0.028,,0.00,0.00,,,,,0.00,374.00,0.31,2624.94,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V full-neg_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"1" ,0.567,0.598,0.622,1507.99,2422.69,42.52,71.88,7.76,0.026,,0.00,817.87,,,,,0.00,0.00,1.03,1972.22,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"2" ,0.622,0.636,0.650,1037.26,1058.52,18.58,49.45,3.39,0.017,,817.87,0.00,,,,,0.00,0.00,1.45,1133.88,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"3" ,0.650,0.679,0.712,1691.33,3288.40,57.72,80.62,10.53,0.032,,0.00,869.37,,,,,0.00,0.00,0.49,1332.69,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"4" ,0.712,0.721,0.738,1400.33,1064.09,18.68,66.75,3.41,0.013,,869.37,0.00,,,,,0.00,0.00,1.02,772.39,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"5" ,0.738,0.768,0.784,1637.89,1458.65,25.60,78.08,4.67,0.015,,0.00,0.00,,,,,0.00,0.00,0.66,1300.41,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"6" ,0.784,0.795,0.820,2097.79,2467.84,43.31,100.00,7.90,0.020,,0.00,1008.23,,,,,0.00,0.00,0.37,1433.50,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"7" ,0.820,0.832,0.915,1302.02,5697.62,100.00,62.07,18.25,0.073,,1008.23,938.36,,,,,0.00,0.00,0.18,1638.70,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"8" ,0.915,0.942,0.997,1832.23,4528.72,79.48,87.34,14.51,0.041,,938.36,0.00,,,,,0.00,0.00,0.68,2091.49,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"9" ,0.997,1.010,1.072,1307.86,3767.71,66.13,62.34,12.07,0.048,,0.00,1053.32,,,,,0.00,0.00,0.11,715.39,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"10" ,1.072,1.081,1.106,1491.06,1995.31,35.02,71.08,6.39,0.022,,1053.32,734.48,,,,,0.00,0.00,0.47,1185.88,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\full-neg_2.d" ,"11" ,1.106,1.116,1.161,1368.91,3469.37,60.89,65.25,11.11,0.042,,734.48,0.00,,,,,0.00,0.00,0.24,1261.95,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V glyA_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"1" ,0.574,0.597,0.617,2243.99,2954.28,4.92,13.72,3.02,0.022,,0.00,1370.20,,,,,0.00,0.00,0.48,1747.45,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"2" ,0.617,0.633,0.646,1775.96,2283.58,3.80,10.86,2.34,0.021,,1370.20,709.67,,,,,0.00,0.00,1.67,1850.01,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"3" ,0.646,0.667,0.719,2048.25,6774.87,11.28,12.53,6.94,0.055,,709.67,802.11,,,,,0.00,0.00,0.34,2158.94,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"4" ,0.719,0.734,0.759,2582.61,2618.07,4.36,15.80,2.68,0.017,,802.11,0.00,,,,,0.00,0.00,0.76,2947.74,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"5" ,0.759,0.784,0.815,2819.70,6216.92,10.36,17.25,6.36,0.037,,0.00,0.00,,,,,0.00,0.00,0.69,3112.50,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"6" ,0.815,0.825,0.896,2426.73,6763.54,11.27,14.84,6.92,0.046,,0.00,1121.88,,,,,0.00,0.00,0.13,2223.14,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"7" ,0.896,0.934,1.047,16350.71,60036.37,100.00,100.00,61.46,0.055,,1121.88,0.00,,,,,0.00,0.00,0.30,14915.09,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"8" ,1.047,1.064,1.074,2725.28,2232.44,3.72,16.67,2.29,0.017,,0.00,1698.56,,,,,0.00,0.00,1.80,3011.58,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"9" ,1.074,1.085,1.097,2079.93,1772.17,2.95,12.72,1.81,0.014,,1698.56,0.00,,,,,0.00,0.00,1.13,2110.08,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"10" ,1.097,1.108,1.140,2045.09,2798.19,4.66,12.51,2.86,0.023,,0.00,1441.93,,,,,0.00,0.00,0.31,1802.14,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"11" ,1.140,1.151,1.175,2152.98,2290.27,3.81,13.17,2.34,0.018,,1441.93,0.00,,,,,0.00,0.00,0.70,2174.28,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_1.d" ,"12" ,1.175,1.186,1.202,1260.20,946.50,1.58,7.71,0.97,0.013,,0.00,930.19,,,,,0.00,1170.00,0.87,1616.53,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V glyA_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"1" ,0.557,0.577,0.607,1485.80,2090.15,3.10,8.41,1.94,0.023,,0.00,1113.50,,,,,0.00,0.00,0.23,1646.38,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"2" ,0.607,0.635,0.679,2388.21,6260.65,9.28,13.52,5.80,0.044,,1113.50,0.00,,,,,0.00,0.00,0.47,1686.25,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"3" ,0.679,0.694,0.736,2550.35,4741.70,7.03,14.44,4.39,0.034,,0.00,1686.14,,,,,0.00,0.00,0.22,2780.47,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"4" ,0.736,0.751,0.780,2900.92,3870.14,5.74,16.43,3.58,0.022,,1686.14,0.00,,,,,0.00,0.00,0.81,3223.44,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"5" ,0.780,0.938,0.992,17661.24,67474.80,100.00,100.00,62.47,0.055,,0.00,0.00,,,,,0.00,0.00,0.88,18048.06,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"6" ,0.992,1.004,1.038,4498.16,7675.61,11.38,25.47,7.11,0.028,,0.00,0.00,,,,,0.00,0.00,0.33,4237.65,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"7" ,1.038,1.055,1.134,3219.98,9686.71,14.36,18.23,8.97,0.039,,0.00,1365.53,,,,,0.00,0.00,0.20,3635.43,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"8" ,1.134,1.146,1.157,2026.18,1746.12,2.59,11.47,1.62,0.014,,1365.53,1188.90,,,,,0.00,0.00,1.08,2091.55,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA_2.d" ,"9" ,1.157,1.174,1.202,2498.59,4466.03,6.62,14.15,4.13,0.030,,1188.90,0.00,,,,,0.00,0.00,0.65,2519.49,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V glyA-sds_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"1" ,0.570,0.602,0.668,2816.75,6953.35,8.62,15.51,6.31,0.038,,0.00,1216.76,,,,,0.00,0.00,0.29,1598.57,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\glyA-sds_1.d" ,"2" ,0.668,0.689,0.718,2446.52,4756.29,5.89,13.47,4.31,0.028,,1216.76,0.00,,,,,0.00,0.00,0.86,2483.07,,,  ,248.9694,,,,,,,,,,,,
